unit_code,name,description,comments,start_date,end_date,symbol
94,Unidad de curl,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
95,Veinte mil galones,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
96,Diez mil galones (US),,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
97,Diez kilos de tambor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
98,Quince kilos de tambor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
05,Ascensor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
06,Pequeño aerosol,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
08,Montón de calor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
10,Grupos,Una unidad de conteo que define el número de grupos (grupo: conjunto de elementos clasificados juntos).,,1/1/22,,
11,Equipos, Unidad de recuento que define el número de equipos (equipo: un conjunto completo de equipo / materiales / objetos utilizados para un propósito específico).,,1/1/22,,
13,Raciones,Una unidad de recuento para definir el número de raciones (ración: una sola porción de las disposiciones).,,1/1/22,,
14,Shot,Unidad de medida para liquidos.,,1/1/22,,
15,"Palo, medida militar.",Unidad para el momento de rotación relacionado con la longitud según el sistema de unidades Anglo-Americanas e Imperial.,,1/1/22,,
16,Tambor de 115 kilogramos,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
17,Tambor de cien libras,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1A,Milla de carros,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1B,Recuento de automóviles,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1C,Conteo de locomotoras,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1D,Caboose count,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1E,Coche vacío,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1F,Milla de tren,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1G,Galón del uso del combustible (los EUA),,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1H,Milla de caboose,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1I, Tipo de interés fijo, Unidad de cantidad expresada como una tasa predeterminada o conjunto para el uso de una instalación o servicio.,,1/1/22,,
1J,Tonelada milla,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1K,Milla locomotora,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1L,Recuento total de automóviles,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1M,Milla total del coche,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
1X,Cuarto de milla,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
20, Contenedores de veinte pies, Unidad de conteo que define el número de contenedores de transporte que miden 20 pies de longitud.,,1/1/22,,
21, Contenedor de cuarenta pies, Unidad de conteo que define el número de contenedores de transporte que miden 40 pies de longitud.,,1/1/22,,
22,Decilitro por gramo,,,1/1/22,,dl/g
23,Gramo por centímetro cúbico,,,1/1/22,,g/cm³
24,Libra teórica, Unidad de masa que define la masa esperada de material expresado como el número de libras.,,1/1/22,,
25,Gramo por centímetro cuadrado,,,1/1/22,,g/cm²
27,Tonelada teórica,"Unidad de masa que define la masa esperada de material, expresada como el número de toneladas.",,1/1/22,,
28,Kilogramo por metro cuadrado,,,1/1/22,,kg/m²
2A,Radián por segundo,"Es la velocidad de un cuerpo que, con una rotación uniforme alrededor de un eje fijo, gira en 1 segundo, 1 radián. ",,1/1/22,,rad/s
2B,Radián por segundo cuadrado,"Es la aceleración angular de un cuerpo animado de una rotación uniformemente variada alrededor de un eje fijo, cuya velocidad angular, varía 1 radián por segundo, en 1 segundo. ",,1/1/22,,rad/s²
2C,Roentgen,,,1/1/22,,R
2G,Voltios CA, Una unidad de potencial eléctrico en relación a la corriente alterna (CA).,,1/1/22,,V
2H,Voltios CD,Unidad de potencial eléctrico en relación con corriente directa (CD).,,1/1/22,,V
2I,Unidad térmica británica (tabla internacional) por hora,,,1/1/22,,BtuIT/h
2J,Centímetro cúbico por segundo,,,1/1/22,,cm³/s
2K,Pie cúbico por hora,,,1/1/22,,ft³/h
2L,Pie cúbico por minuto,,,1/1/22,,ft³/min
2M,Centímetro por segundo,,,1/1/22,,cm/s
2N,Decibel,Medida de sonoridad o sensación sonora que es igual a la décima parte de un bel.,,1/1/22,,dB
2P,Kilobyte, Unidad de información igual a 10 ³  (1000) bytes.,,1/1/22,,kbyte
2Q,Kilobecquerel,,,1/1/22,,kBq
2R,Kilocurie,,,1/1/22,,kCi
2U,Megagramo,,,1/1/22,,Mg
2V,Megagrama por hora,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,Mg / h
2X,Metro por minuto,,,1/1/22,,m/min
2Y,Milliroentgen,,,1/1/22,,mR
2Z,Milivoltio,,,1/1/22,,mV
33,Kilopascal por grtr,,,1/1/22,,kPa·m²/g
34,Kilopascal por milímetro,,,1/1/22,,kPa/mm
35,Milímetro por un segundo centímetro cuadrado,,,1/1/22,,ml/(cm²·s)
37,Onza por pie cuadrado,,,1/1/22,,oz/ft²
38,"Onzas por pie cuadrado por 0,01 pulgadas",,,1/1/22,,oz/(ft²/cin)
3B,Megajoule,,,1/1/22,,MJ
3C,Manmonth,Unidad de cuenta que define el número de meses que una persona o personas pueden desempeñar alguna actividad.,,1/1/22,,
3E,Libra por libra de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
3G,Libra por pieza de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
3H,Kilogramo por kilogramo de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
3I,Kilogramo por pedazo de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
40,Mililitro por segundo,,,1/1/22,,ml/s
41,Mililitro por minuto,,,1/1/22,,ml/min
4B,Gorra,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
4C,Centistokes,,,1/1/22,,cSt
4E,Veinte pack,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
4G,Microlitro,,,1/1/22,,µl
4H,Micra,"El micrómetro, micrón o micra es una unidad de longitud equivalente a una milésima parte de un milímetro.",,1/1/22,,µm
4K,Miliamperio,,,1/1/22,,mA
4L,Megabyte,Unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s.,,1/1/22,,Mbyte
4M,Miligramo por hora,,,1/1/22,,mg/h
4N,Megabequerel,,,1/1/22,,MBq
4O,Microfaradio,,,1/1/22,,µF
4P,Newton por metro,,,1/1/22,,N/m
4Q,Onza pulgada,,,1/1/22,,oz·in
4R,Onza pie,,,1/1/22,,oz·ft
4T,Picofaradio,,,1/1/22,,pF
4U,Libra por hora,,,1/1/22,,lb/h
4W,Tonelada (EUA) por hora,,,1/1/22,,ton (US) /h
4X,Kilolitro por hora,,,1/1/22,,kl/h
56,Sitas, Unidad de área de placa de estaño igual a un área de superficie de 100 metros cuadrados.,,1/1/22,,
57,Malla,Una unidad de recuento de definir el número de hebras por pulgada como una medida de la finura de un producto tejido.,,1/1/22,,
58, kilogramo neto,Unidad de masa que define el número total de kilogramos después de las deducciones.,,1/1/22,,
59,Parte por millón, Una unidad de proporción igual a 10⁻⁶.,,1/1/22,,ppm
5A,Barril por minuto,,,1/1/22,,barrel (US)/min
5B,Batch,Unidad de conteo que define el número de lotes (lote: cantidad de material producido en una operación o número de animales o personas que vienen a la vez).,,1/1/22,,
5C,Galón (US) por mil,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
5E,Mmscf/day,"Unidad de volumen equivalente a un millón (1,000,000) pies cúbicos de gas por día.",,1/1/22,,
5F,Libra por mil,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
5G,bomba,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
5H,Escenario,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
5I,Pies cúbicos estándar,Utilice estándar (código común WSD),"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,Std
5J,Caballos de potencia hidráulica,Unidad de potencia de la definición de los caballos de potencia hidráulica suministrada por una bomba de fluido dependiendo de la viscosidad del fluido.,,1/1/22,,
5K,Contar por minuto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
5P,Nivel sísmico,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
5Q,Línea sísmica,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",1/1/22,,
60,Tanto por ciento en peso,Una unidad de proporción igual a 10⁻².,,1/1/22,,
61,Parte por mil millones (EUA),Una unidad de proporción igual a 10⁻⁹.,,1/1/22,,ppb
74,Milipascal,,,1/1/22,,mPa
77,Mili-pulgada,,,1/1/22,,mil
80,Libra por pulgada cuadrado absoluta,,,1/1/22,,lb/in²
81,Henry,"Un henry es la unidad para la inductancia eléctrica en el Sistema Internacional de Unidades. Es la inductancia eléctrica de un circuito cerrado en el que se produce una fuerza electromotriz de 1 voltio, cuando la corriente eléctrica que recorre el circuito varía uniformemente a razón de un amperio por segundo.",,1/1/22,,H
85,Pie libra-fuerza,,,1/1/22,,ft·lbf
87,Libra por pie cúbico,,,1/1/22,,lb/ft³
89,Poise,El poise (símbolo: P) es la unidad de viscosidad dinámica del sistema cegesimal de unidades.,,1/1/22,,P
91,Stokes,El Stokes es la unidad de viscosidad cinemática en el Sistema Cegesimal de Unidades,,1/1/22,,St
A1,15 ° C calorías,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Cal $ _ $
A10,Amperio por metro cuadrado por joule segundo,,,1/1/22,,A·m²/(J·s)
A11,Ángstrom,"El ángstrom es una unidad de longitud empleada principalmente para expresar longitudes de onda, distancias moleculares y atómicas, etc.",,1/1/22,,Å
A12,Unidad astronómica,"Es una unidad de longitud igual por definición a 149 597 870 700 metros, y que equivale aproximadamente a la distancia media entre el planeta Tierra y el Sol.",,1/1/22,,ua
A13,Attojoule," Una unidad SI de la energía, el trabajo, y el calor igual a 10 -18 joules",,1/1/22,,aJ
A14,Barn,"Es una unidad de superficie, equivalente a 10-28 m² (100 femtómetros cuadrados). Sus múltiplos son muy utilizados en física de partículas para medir las secciones eficaces en reacciones nucleares, y sus inversos para medir luminosidades.",,1/1/22,,b
A15,Barn por electrovoltio,,,1/1/22,,b/eV
A16,Barn por electrovoltio ,,,1/1/22,,b/(sr·eV)
A17,Barn por esteroradian,,,1/1/22,,b/sr
A18,Becquerel por kilogramo,,,1/1/22,,Bq/kg
A19,Becquerel por metro cúbico,,,1/1/22,,Bq/m³
A2,Amperio por centímetro,,,1/1/22,,A/cm
A20,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.,,,1/1/22,,BtuIT/(s·ft²·°R)
A21,Unidad térmica británica (tabla internacional) por libra grado rankine,,,1/1/22,,Btu/IT(lb·°R)
A22,Unidad térmica británica (tabla internacional) por segundo pie grado rankine,,,1/1/22,,BtuIT/(s·ft·°R)
A23,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.,,,1/1/22,,BtuIT/(h·ft²·°R)
A24,Candela por metro cuadrado,,,1/1/22,,cd/m²
A25,Caballo de vapor,Sinónimo: Caballo de fuerza métrico,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,CV
A26,Culombio metro,,,1/1/22,,C·m
A27,Culombio metro cuadrado por voltio,,,1/1/22,,C·m²/V
A28,Culombio por centímetro cúbico,,,1/1/22,,C/cm³
A29,Culombio por metro cúbico,,,1/1/22,,C/m³
A3,Amperio por milímetro,,,1/1/22,,A/mm
A30,Culombio por milímetro cúbico,,,1/1/22,,C/mm³
A31,Culombio por kilogramo-segundo,,,1/1/22,,C/(kg·s)
A32,Culombio por Mol,,,1/1/22,,C/mol
A33,Culombio por centímetro cuadrado,,,1/1/22,,C/cm²
A34,Culombio por metro cuadrado,,,1/1/22,,C/m²
A35,Culombio por milímetro cuadrado,,,1/1/22,,C/mm²
A36,Centímetro cúbico por Mol,,,1/1/22,,cm³/mol
A37,Decímetro cuadrado por Mol,,,1/1/22,,dm³/mol
A38,Cubic pooulo p,,,1/1/22,,m³/C
A39,Metro cúbico por kilogramo,,,1/1/22,,m³/kg
A4,Amperio por centímetro cuadrado,,,1/1/22,,A/cm²
A40,Metro cúbico por Mol,,,1/1/22,,m³/mol
A41,Amperio por metro cuadrado,,,1/1/22,,A/m²
A42,Curie por kilogramo,,,1/1/22,,Ci/kg
A43,Tonelaje de peso muerto,"Unidad de masa que define la diferencia entre el peso de un barco cuando está completamente vacío y su peso cuando está completamente cargado, expresado como el número de toneladas.",,1/1/22,,dwt
A44,Decalitro,,,1/1/22,,dal
A45,Decámetro,"Medida de longitud, de símbolo dam o Dm, que es igual a 10 metros.",,1/1/22,,dam
A47,Decitex,Unidad de densidad de hilo. Un decitex es igual a una masa de 1 gramo por 10 kilómetros de longitud.,,1/1/22,,dtex (g/10km)
A48,Grado rankine,Consulte ISO 80000-5 (Cantidades y unidades - Parte 5: Termodinámica),,1/1/22,,°R
A49,Negador,Unidad de densidad de hilo. Una denier es igual a una masa de 1 gramo por 9 kilómetros de longitud.,,1/1/22,,den (g/9 km)
A5,Amperio metro cuadrado,,,1/1/22,,A·m²
A50,Dina segundo por centímetro cúbico,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Dyn · s / cm³
A51,Dina segundo por centímetro,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Dyn · s / cm
A52,Dina segundo por centímetro a la quinta potencia,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Dyn · s / cm⁵
A53,Electronvoltio,,,1/1/22,,eV
A54,Electronvoltio por metro,,,1/1/22,,eV/m
A55,Electronvoltio por metro cuadrado,,,1/1/22,,eV·m²
A56,Electronvoltio metro cuadrado por kilogramo,,,1/1/22,,eV·m²/kg
A57,Ergio,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,ergio
A58,Erg por centímetro,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg / cm
A59,La cobertura de nubes 8-parte,"Unidad de recuento para definir el número de octavos de partes como una medida de la cobertura de nubes de la ccúpula celeste. 

'Sinónimo: OKTA, OCTA",,1/1/22,,
A6,Amperio por metro cuadrado Kelvin cuadrado,,,1/1/22,,A/(m²·K²)
A60,Erg por centímetro cúbico,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg / cm³
A61,Erg por gramo,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg / g
A62,Erg por segundo gramo,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg / g · s
A63,Erg por segundo,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Ergs
A64,Erg por segundo centímetro cuadrado,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg / (s · cm²)
A65,Erg por centímetro cuadrado segundo,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg / (cm² · s)
A66,Erg centímetro cuadrado,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg · cm²
A67,Erg centímetro cuadrado por gramo,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,1/1/22,,Erg · cm² / g
A68,Exajoule,,,1/1/22,,EJ
A69,Faradio por metro,,,1/1/22,,F/m
A7,Amperio por milímetro cuadrado,,,1/1/22,,A/mm²
A70,Femtojoule,,,1/1/22,,fJ
A71,Femtómetro,Es la unidad de longitud que equivale a una milbillónesima parte del metro.,,1/1/22,,fm
A73,Pie por segundo al cuadrado,,,1/1/22,,ft/s²
A74,Pie libra-fuerza por segundo,,,1/1/22,,ft·lbf/s
A75,Tonelada de carga,"Unidad de información que normalmente se utiliza para la facturación, que se define como sea el número de toneladas métricas o el número de metros cúbicos, lo que sea mayor.",,1/1/22,,
