c_Localidad,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia,
02,SON,Agua Prieta,1/1/22,,
02,TAB,Villahermosa,1/1/22,,
02,TAM,Ciudad Camargo,1/1/22,,
02,TLA,Villa Vicente Guerrero,1/1/22,,
02,VER,Naranjos,1/1/22,,
02,YUC,Tizimín,1/1/22,,
02,ZAC,Jerez de García Salinas,1/1/22,,
03,AGU,San Francisco de los Romo,1/1/22,,
03,BCN,Tecate,1/1/22,,
03,BCS,Cabo San Lucas,1/1/22,,
03,CAM,Calkiní,1/1/22,,
03,COA,Matamoros,1/1/22,,
03,COL,Tecoman,1/1/22,,
03,CHH,Cuauhtémoc,1/1/22,,
03,CHP,Tapachula de Córdova y Ordóñez,1/1/22,,
03,CMX,Ciudad de México,1/1/22,,
03,DUR,Ciudad Lerdo,1/1/22,,
03,GRO,Iguala de la Independencia,1/1/22,,
03,GUA,Celaya,1/1/22,,
03,HID,Pachuca de Soto,1/1/22,,
03,JAL,Guadalajara,1/1/22,,
03,MEX,Coacalco de Berriozabal,1/1/22,,
03,MIC,Ciudad Hidalgo,1/1/22,,
03,MOR,Galeana,1/1/22,,
03,NAY,Tuxpan,1/1/22,,
03,NLE,Ciudad General Escobedo,1/1/22,,
03,OAX,Salina Cruz,1/1/22,,
03,PUE,Puebla (Heroica Puebla),1/1/22,,
03,ROO,Felipe Carrillo Puerto,1/1/22,,
03,SIN,Escuinapa de Hidalgo,1/1/22,,
03,SLP,Matehuala,1/1/22,,
03,SON,Heroica Caborca,1/1/22,,
03,TAB,Comalcalco,1/1/22,,
03,TAM,Ciudad Madero,1/1/22,,
03,TLA,Tlaxcala (Tlaxcala de Xicotencatl),1/1/22,,
03,VER,Boca del RÍo,1/1/22,,
03,YUC,Ticul,1/1/22,,
03,ZAC,Zacatecas,1/1/22,,
04,AGU,Jesús María,1/1/22,,
04,BCN,Tijuana,1/1/22,,
04,BCS,San José del Cabo,1/1/22,,
04,CAM,Candelaria,1/1/22,,
04,COA,Monclova,1/1/22,,
04,COL,Ciudad de Villa de Álvarez,1/1/22,,
04,CHH,Delicias,1/1/22,,
04,CHP,Tuxtla Gutiérrez,1/1/22,,
04,CMX,Ciudad de México,1/1/22,,
04,DUR,Santiago Papasquiaro,1/1/22,,
04,GRO,Taxco de Alarcón,1/1/22,,
04,GUA,Cortazar,1/1/22,,
04,HID,Cd. de Fray Bernardino de Sahagún,1/1/22,,
04,JAL,Lagos de Moreno,1/1/22,,
04,MEX,Cuautitlán Izcalli,1/1/22,,
04,MIC,Jacona de Plancarte,1/1/22,,
04,MOR,Jojutla,1/1/22,,
04,NAY,Acaponeta,1/1/22,,
04,NLE,Guadalupe,1/1/22,,
04,OAX,San Juan Bautista Tuxtepec,1/1/22,,
04,PUE,San Martín Texmelucan de Labastida,1/1/22,,
04,QUE,El Pueblito,1/1/22,,
04,ROO,Chetumal,1/1/22,,
04,SIN,Guasave,1/1/22,,
04,SLP,Rioverde,1/1/22,,
04,SON,Ciudad Obregón,1/1/22,,
04,TAB,Emiliano Zapata,1/1/22,,
04,TAM,Ciudad Mante,1/1/22,,
04,TLA,Huamantla,1/1/22,,
04,VER,Coatepec,1/1/22,,
04,YUC,Motul de Carrillo Puerto,1/1/22,,
04,ZAC,Guadalupe,1/1/22,,
05,AGU,Pabellón de Arteaga,1/1/22,,
05,BCN,Playas de Rosarito,1/1/22,,
05,BCS,Loreto,1/1/22,,
05,CAM,Escárcega,1/1/22,,
05,COA,Parras de la Fuente,1/1/22,,
05,COL,Ciudad de Armería,1/1/22,,
05,CHH,Hidalgo del Parral,1/1/22,,
05,CHP,Venustiano Carranza,1/1/22,,
05,CMX,Ciudad de México,1/1/22,,
05,DUR,Canatlán,1/1/22,,
05,GRO,Arcelia,1/1/22,,
05,GUA,Guanajuato,1/1/22,,
05,HID,Tula de Allende,1/1/22,,
05,JAL,Ocotlán,1/1/22,,
05,MEX,Ecatepec de Morelos,1/1/22,,
05,MIC,La piedad de Cabadas,1/1/22,,
05,MOR,Puente de Ixtla,1/1/22,,
05,NAY,Tecuala,1/1/22,,
05,NLE,Linares,1/1/22,,
05,OAX,Matías Romero Avendaño,1/1/22,,
05,PUE,Tehuacan,1/1/22,,
05,ROO,Playa del Carmen,1/1/22,,
05,SIN,Mazatlán,1/1/22,,
05,SLP,San Luis Potosí,1/1/22,,
05,SON,Empalme,1/1/22,,
05,TAB,Jalpa de Méndez,1/1/22,,
05,TAM,Heroica Matamoros,1/1/22,,
05,TLA,Calpulalpan,1/1/22,,
05,VER,Agua dulce,1/1/22,,
05,YUC,Valladolid,1/1/22,,
05,ZAC,Río Grande,1/1/22,,
06,AGU,Rincón de Romos,1/1/22,,
06,BCN,Rodolfo Sánchez T. (Maneadero),1/1/22,,
06,BCS,Puerto Adolfo López Mateos,1/1/22,,
06,CAM,Sabancuy,1/1/22,,
06,COA,Piedras Negras,1/1/22,,
06,CHH,Juárez,1/1/22,,
06,CHP,Jiquipilas,1/1/22,,
06,CMX,Ciudad de México,1/1/22,,
06,DUR,San Juan del Río del Centauro del Norte,1/1/22,,
06,GRO,Ayutla de los Libres,1/1/22,,
06,GUA,Irapuato,1/1/22,,
06,HID,Tulancingo,1/1/22,,
06,JAL,Puerto Vallarta,1/1/22,,
06,MEX,Huixquilucan de Degollado,1/1/22,,
06,MIC,Morelia,1/1/22,,
06,MOR,Santa Rosa Treinta,1/1/22,,
06,NAY,Compostela,1/1/22,,
06,NLE,Montemorelos,1/1/22,,
06,OAX,Heroica Ciudad de Huajuapan de León,1/1/22,,
06,PUE,Teziutlan,1/1/22,,
06,ROO,Kantunilkin,1/1/22,,
06,SIN,Guamúchil,1/1/22,,
06,SLP,Soledad de Graciano Sánchez,1/1/22,,
06,SON,Heroica Guaymas,1/1/22,,
06,TAM,Nuevo Laredo,1/1/22,,
06,TLA,Chiautempan,1/1/22,,
06,VER,Coatzacoalcos,1/1/22,,
06,YUC,Kanasín,1/1/22,,
06,ZAC,Ciudad Cuauhtémoc,1/1/22,,
07,AGU,Asientos,1/1/22,,
07,BCN,San Felipe,1/1/22,,
07,BCS,Todos Santos,1/1/22,,
07,CAM,Hopelchén,1/1/22,,
07,COA,Sabinas,1/1/22,,
07,CHH,Nuevo Casas Grandes,1/1/22,,
07,CHP,Villaflores,1/1/22,,
07,CMX,Ciudad de México,1/1/22,,
07,DUR,Peñón Blanco,1/1/22,,
07,GRO,Atoyac de Álvarez,1/1/22,,
07,GUA,León de los Aldama,1/1/22,,
07,HID,Zimapan,1/1/22,,
07,JAL,San Juan de los Lagos,1/1/22,,
07,MEX,Los Reyes Acaquilpan (La Paz),1/1/22,,
07,MIC,Pátzcuaro,1/1/22,,
07,MOR,Zacatepec de Hidalgo,1/1/22,,
07,NAY,Francisco I. Madero (Puga),1/1/22,,
07,NLE,Monterrey,1/1/22,,
07,OAX,Loma Bonita,1/1/22,,
07,PUE,San Andrés Cholula,1/1/22,,
07,ROO,Isla Mujeres,1/1/22,,
07,SIN,Navolato,1/1/22,,
07,SLP,Charcas,1/1/22,,
07,SON,Hermosillo,1/1/22,,
07,TAB,Macuspana,1/1/22,,
07,TAM,Reynosa,1/1/22,,
07,VER,Córdoba,1/1/22,,
07,ZAC,Ojocaliente,1/1/22,,
08,AGU,Tepezalá,1/1/22,,
08,BCS,Heroica Mulegé,1/1/22,,
08,CAM,Champotón,1/1/22,,
08,COA,Saltillo,1/1/22,,
08,CHP,Las Margaritas,1/1/22,,
08,CMX,Ciudad de México,1/1/22,,
08,DUR,Francisco I. Madero,1/1/22,,
08,GUA,Moroleón,1/1/22,,
08,HID,Huejutla de Reyes,1/1/22,,
08,JAL,Tepatitlán de Morelos,1/1/22,,
08,MEX,Metepec,1/1/22,,
08,MIC,Sahuayo de Morelos,1/1/22,,
08,MOR,Tlaquiltenango,1/1/22,,
08,NAY,Villa Hidalgo (El Nuevo),1/1/22,,
08,NLE,Ciudad Sabinas Hidalgo,1/1/22,,
08,OAX,Puerto Escondido,1/1/22,,
08,PUE,San Pedro Cholula,1/1/22,,
08,ROO,Bacalar,1/1/22,,
08,SIN,Quila,1/1/22,,
08,SLP,Salinas de Hidalgo,1/1/22,,
08,SON,Huatabampo,1/1/22,,
08,TAB,Tenosique de Pino Suárez,1/1/22,,
08,TAM,Ciudad Río Bravo,1/1/22,,
08,VER,Tres Valles,1/1/22,,
08,ZAC,Villa Hidalgo,1/1/22,,
09,AGU,Cosío,1/1/22,,
09,BCS,Villa Alberto Andrés Alvarado Arámburo,1/1/22,,
09,CAM,Hecelchakán,1/1/22,,
09,COA,Nueva Rosita,1/1/22,,
09,CHH,Madera,1/1/22,,
09,CHP,Arriaga,1/1/22,,
09,CMX,Ciudad de México,1/1/22,,
09,DUR,Nombre de Dios,1/1/22,,
09,GRO,San Jerónimo de Juárez,1/1/22,,
09,GUA,Salamanca,1/1/22,,
09,HID,Tlaxcoapan,1/1/22,,
09,JAL,Tlaquepaque,1/1/22,,
09,MEX,Naucalpan de Juárez,1/1/22,,
09,MIC,Uruapan,1/1/22,,
09,NAY,Ruiz,1/1/22,,
09,NLE,San Nicolás de los Garza,1/1/22,,
09,OAX,Río Grande o Piedra Parada,1/1/22,,
09,PUE,Huauchinango,1/1/22,,
09,SIN,Ahome,1/1/22,,
09,SLP,Cárdenas,1/1/22,,
09,SON,Navojoa,1/1/22,,
09,TAB,Teapa,1/1/22,,
09,TAM,San Fernando,1/1/22,,
09,VER,Jáltipan de Morelos,1/1/22,,
09,ZAC,Villanueva,1/1/22,,
10,BCS,San Ignacio,1/1/22,,
10,COA,San Pedro,1/1/22,,
10,CHH,Colonia Anáhuac,1/1/22,,
10,CHP,Palenque,1/1/22,,
10,CMX,Ciudad de México,1/1/22,,
10,DUR,Vicente Guerrero,1/1/22,,
10,GRO,Ciudad Apaxtla de Castrejón,1/1/22,,
10,GUA,San Francisco del Rincón,1/1/22,,
10,HID,Tizayuca,1/1/22,,
10,JAL,Zapopan,1/1/22,,
10,MEX,Ciudad Nezahualcoyotl,1/1/22,,
10,MIC,Zacapu,1/1/22,,
10,NAY,San Blas,1/1/22,,
10,NLE,Ciudad Santa Catarina,1/1/22,,
10,PUE,Acatlán de Osorio,1/1/22,,
10,SIN,Higuera de Zaragoza,1/1/22,,
10,SLP,Cerritos,1/1/22,,
10,SON,Heroica Nogales,1/1/22,,
10,TAB,Paraíso,1/1/22,,
10,TAM,Tampico,1/1/22,,
10,VER,Xalapa-Enríquez,1/1/22,,
10,ZAC,Villa de Cos,1/1/22,,
11,BCS,Guerrero Negro,1/1/22,,
11,CAM,Pomuch,1/1/22,,
11,COA,Torreón,1/1/22,,
11,CHH,Juan Aldama,1/1/22,,
11,CHP,Ocosingo,1/1/22,,
11,CMX,Ciudad de México,1/1/22,,
11,DUR,El Salto,1/1/22,,
11,GRO,Ciudad Altamirano,1/1/22,,
11,GUA,Silao,1/1/22,,
11,HID,Santiago Tulantepec,1/1/22,,
11,JAL,Tlajomulco de Zúñiga,1/1/22,,
11,MEX,Villa Nicolás Romero,1/1/22,,
11,MIC,Zamora de Hidalgo,1/1/22,,
11,NAY,Ixtlán del Río,1/1/22,,
11,NLE,Doctor Arroyo,1/1/22,,
11,OAX,Santiago Suchilquitongo,1/1/22,,
11,PUE,Cuautlancingo,1/1/22,,
11,SIN,Choix,1/1/22,,
11,SLP,Tamuín,1/1/22,,
11,SON,Puerto Peñasco,1/1/22,,
11,TAB,Frontera,1/1/22,,
11,TAM,Ciudad Victoria,1/1/22,,
11,VER,Minatitlán,1/1/22,,
11,ZAC,Nochistlán de Mejía,1/1/22,,
12,BCS,Santa Rosalía,1/1/22,,
12,COA,Castaños,1/1/22,,
12,CHH,José Mariano Jiménez,1/1/22,,
12,CHP,Tonalá,1/1/22,,
12,CMX,Ciudad de México,1/1/22,,
12,DUR,Santa María del Oro,1/1/22,,
12,GRO,Buenavista de Cuellar,1/1/22,,
12,GUA,Jerécuaro,1/1/22,,
12,HID,Ixmiquilpan,1/1/22,,
12,JAL,Tonalá,1/1/22,,
12,MEX,Tecamac de Felipe Villanueva,1/1/22,,
12,MIC,Heroica Zitácuaro,1/1/22,,
12,NAY,Bucerías,1/1/22,,
12,NLE,Ciénega de Flores,1/1/22,,
12,OAX,San Felipe Jalapa de Díaz,1/1/22,,
12,PUE,Tepeaca,1/1/22,,
12,SIN,Villa Unión,1/1/22,,
12,SLP,Tamasopo,1/1/22,,
12,SON,Heroica Ciudad de Cananea,1/1/22,,
12,TAB,Cunduacán,1/1/22,,
12,TAM,González,1/1/22,,
12,VER,Orizaba,1/1/22,,
12,ZAC,Víctor Rosales,1/1/22,,
13,COA,Francisco I. Madero (Chávez),1/1/22,,
13,CHH,Manuel Ojinaga,1/1/22,,
13,CHP,Mapastepec,1/1/22,,
13,CMX,Ciudad de México,1/1/22,,
13,GRO,Cutzamala de Pinzón,1/1/22,,
13,GUA,Santiago Maravatío,1/1/22,,
13,HID,Tepeji del Rio,1/1/22,,
13,JAL,Tuxpan,1/1/22,,
13,MEX,Tepotzotlán,1/1/22,,
13,MIC,Paracho de Verduzco,1/1/22,,
13,NAY,Las Varas,1/1/22,,
13,NLE,Hualahuises,1/1/22,,
13,OAX,Bahias de Huatulco,1/1/22,,
13,PUE,Tecamachalco,1/1/22,,
13,SIN,Sinaloa de Leyva,1/1/22,,
13,SLP,Ciudad del Maíz,1/1/22,,
13,SON,Sonoita,1/1/22,,
13,TAB,Huimanguillo,1/1/22,,
13,TAM,Jaumave,1/1/22,,
13,VER,Papantla de Olarte,1/1/22,,
13,ZAC,Valparaíso,1/1/22,,
14,COA,Cuatro Ciénegas de Carranza,1/1/22,,
14,CHH,Bachíniva,1/1/22,,
14,CHP,Las Rosas,1/1/22,,
14,CMX,Ciudad de México,1/1/22,,
14,GRO,Coyuca de Catalán,1/1/22,,
14,GUA,Romita,1/1/22,,
14,HID,Cruz Azul,1/1/22,,
14,JAL,Tototlán,1/1/22,,
14,MEX,Tlalnepantla de Baz,1/1/22,,
14,MIC,Tangancícuaro de Arista,1/1/22,,
14,NAY,Xalisco,1/1/22,,
14,OAX,Putla Villa de Guerrero,1/1/22,,
14,PUE,Zacatlán,1/1/22,,
14,SIN,Mocorito,1/1/22,,
14,SLP,Cedral,1/1/22,,
14,SON,Magdalena de Kino,1/1/22,,
14,TAM,Ciudad Gustavo Díaz Ordaz,1/1/22,,
14,VER,Poza Rica de Hidalgo,1/1/22,,
14,ZAC,Luis Moya,1/1/22,,
15,COA,Nadadores,1/1/22,,
15,CHH,Saucillo,1/1/22,,
15,CHP,Chiapa de Corzo,1/1/22,,
15,CMX,Ciudad de México,1/1/22,,
15,GRO,Tierra Colorada,1/1/22,,
15,GUA,Tarandacuao,1/1/22,,
15,HID,Tepeapulco,1/1/22,,
15,JAL,San Diego de Alejandría,1/1/22,,
15,MEX,Santa Maria Tultepec,1/1/22,,
15,MIC,Maravatío de Ocampo,1/1/22,,
15,NAY,San pedro Lagunillas,1/1/22,,
15,NLE,Cadereyta Jiménez,1/1/22,,
15,OAX,Cosolapa,1/1/22,,
15,PUE,Xicotepec,1/1/22,,
15,SIN,Angostura,1/1/22,,
15,SLP,Tierra Nueva,1/1/22,,
15,TAM,Estación Manuel (Úrsulo Galván),1/1/22,,
15,VER,San Andrés Tuxtla,1/1/22,,
15,ZAC,Moyahua de Estrada,1/1/22,,
16,COA,Ramos Arizpe,1/1/22,,
16,CHP,Cacahoatán,1/1/22,,
16,CMX,Ciudad de México,1/1/22,,
16,GRO,Coyuca de Benítez,1/1/22,,
16,GUA,Huanímaro,1/1/22,,
16,JAL,La Resolana,1/1/22,,
16,MEX,Tultitlán de Mariano Escobedo,1/1/22,,
16,MIC,Zinapécuaro de Figueroa,1/1/22,,
16,NAY,La peñita de Jaltemba,1/1/22,,
16,OAX,Tlacolula de Matamoros,1/1/22,,
16,PUE,Ciudad Serdán,1/1/22,,
16,SIN,San Blas,1/1/22,,
16,SLP,Villa de Reyes,1/1/22,,
16,TAM,Xicoténcatl,1/1/22,,
16,VER,Túxpam de Rodríguez Cano,1/1/22,,
16,ZAC,Sombrerete,1/1/22,,
17,COA,Nava,1/1/22,,
17,CHP,Ocozocoautla de Espinosa,1/1/22,,
17,GRO,Olinalá,1/1/22,,
17,GUA,Comonfort,1/1/22,,
17,JAL,Atotonilco el Alto,1/1/22,,
17,MEX,Cuautitlán,1/1/22,,
17,MIC,Puruándiro,1/1/22,,
17,NAY,Jala,1/1/22,,
17,NLE,Santiago,1/1/22,,
17,OAX,San Pablo Villa de Mitla,1/1/22,,
17,PUE,Amozoc,1/1/22,,
17,SIN,La Cruz,1/1/22,,
17,SLP,Fracción el Refugio,1/1/22,,
17,TAM,Ciudad Miguel Alemán,1/1/22,,
17,VER,Veracruz,1/1/22,,
17,ZAC,Jalpa,1/1/22,,
18,COA,Zaragoza,1/1/22,,
18,CHP,Cintalapa de Figueroa,1/1/22,,
18,GRO,Marquelia,1/1/22,,
18,GUA,Uriangato,1/1/22,,
18,JAL,Jalostotitlán,1/1/22,,
18,MEX,Ixtapaluca,1/1/22,,
18,MIC,Yurécuaro,1/1/22,,
18,NAY,Ahuacatlán,1/1/22,,
18,NLE,El cercado,1/1/22,,
18,OAX,Natividad,1/1/22,,
18,SIN,El rosario,1/1/22,,
18,SLP,Tamazunchale,1/1/22,,
18,TAM,Soto la Marina,1/1/22,,
18,VER,Tierra Blanca,1/1/22,,
18,ZAC,Loreto,1/1/22,,
19,COA,San Buenaventura,1/1/22,,
19,CHP,Pichucalco,1/1/22,,
19,GRO,Zumpango del Río,1/1/22,,
19,GUA,Pénjamo,1/1/22,,
19,JAL,Poncitlán,1/1/22,,
19,MEX,Texcoco de Mora,1/1/22,,
19,MIC,Huetamo de Núñez,1/1/22,,
19,OAX,Teotitlán de Flores Magón,1/1/22,,
19,SIN,Estación Naranjo,1/1/22,,
19,SLP,Santa María del Río,1/1/22,,
19,TAM,Ciudad Tula,1/1/22,,
19,VER,Cosamaloapan,1/1/22,,
19,ZAC,Juan Aldama,1/1/22,,
20,COA,Ciudad Melchor Múzquiz,1/1/22,,
20,CHP,Puerto Madero (San Benito),1/1/22,,
20,GRO,San Luis de la Loma,1/1/22,,
20,GUA,Cuerámaro,1/1/22,,
20,JAL,Arandas,1/1/22,,
20,MEX,Toluca de Lerdo,1/1/22,,
20,MIC,Tacámbaro de Codallos,1/1/22,,
20,NLE,Anáhuac,1/1/22,,
20,OAX,Santa María Huatulco,1/1/22,,
20,SIN,Aguaruto,1/1/22,,
20,SLP,El Naranjo,1/1/22,,
20,TAM,Nueva Ciudad Guerrero,1/1/22,,
20,VER,Carlos A. Carrillo,1/1/22,,
21,COA,Viesca,1/1/22,,
21,CHP,Pijijiapan,1/1/22,,
21,GRO,Petatlán,1/1/22,,
21,GUA,Empalme Escobedo (Escobedo),1/1/22,,
21,JAL,Talpa de Allende,1/1/22,,
21,MEX,Valle de Chalco Solidaridad,1/1/22,,
21,MIC,Ciudad Lázaro Cárdenas,1/1/22,,
21,NLE,García,1/1/22,,
21,OAX,San Juan Bautista Cuicatlán,1/1/22,,
21,SIN,Cosalá,1/1/22,,
21,TAM,Valle Hermoso,1/1/22,,
21,VER,Pánuco,1/1/22,,
22,COA,Morelos,1/1/22,,
22,CHP,Reforma,1/1/22,,
22,GRO,La Unión,1/1/22,,
22,GUA,San Luis de la Paz,1/1/22,,
22,JAL,Etzatlán,1/1/22,,
22,MEX,Tejupilco de Hidalgo,1/1/22,,
22,MIC,Las Guacamayas,1/1/22,,
22,NLE,Ciudad Benito Juárez,1/1/22,,
22,OAX,Villa Sola de Vega,1/1/22,,
22,SIN,San Ignacio,1/1/22,,
22,VER,Tampico Alto,1/1/22,,
23,COA,Arteaga,1/1/22,,
23,CHP,Huixtla,1/1/22,,
23,GRO,San Luis San Pedro,1/1/22,,
23,GUA,Valle de Santiago,1/1/22,,
23,JAL,Sayula,1/1/22,,
23,MEX,Chalco de Díaz Covarrubias,1/1/22,,
23,MIC,Jiquilpan de Juárez,1/1/22,,
23,OAX,Ocotlán de Morelos,1/1/22,,
23,SIN,Topolobampo,1/1/22,,
23,VER,Tempoal de Sánchez,1/1/22,,
24,COA,Allende,1/1/22,,
24,CHP,Motozintla de Mendoza,1/1/22,,
24,GRO,Teloloapan,1/1/22,,
24,GUA,Abasolo,1/1/22,,
24,JAL,Ahualulco de Mercado,1/1/22,,
24,MEX,Amatepec,1/1/22,,
24,MIC,Tuxpan,1/1/22,,
24,OAX,Villa de Zaachila,1/1/22,,
24,SIN,Lic. Benito Juárez (Campo Gobierno),1/1/22,,
24,VER,Tantoyuca,1/1/22,,
25,CHP,Acala,1/1/22,,
25,GRO,Técpan de Galeana,1/1/22,,
25,GUA,Rincón de Tamayo,1/1/22,,
25,JAL,Autlán de Navarro,1/1/22,,
25,MIC,Cotija de la Paz,1/1/22,,
25,OAX,Miahuatlán de Porfirio Díaz,1/1/22,,
25,VER,Gutiérrez Zamora,1/1/22,,
26,GRO,Huitzuco,1/1/22,,
26,GUA,Villagrán,1/1/22,,
26,JAL,Magdalena,1/1/22,,
26,MEX,Melchor Ocampo,1/1/22,,
26,MIC,Nueva Italia de Ruiz,1/1/22,,
26,OAX,Unión Hidalgo,1/1/22,,
26,VER,Platón Sánchez,1/1/22,,
27,GRO,Tixtla de Guerrero,1/1/22,,
27,GUA,Yuriria,1/1/22,,
27,JAL,San Julián,1/1/22,,
27,MEX,San Vicente Chicoloapan de Juárez,1/1/22,,
27,MIC,Cuitzeo del Porvenir,1/1/22,,
27,OAX,El Camarón,1/1/22,,
27,VER,Juan Rodríguez Clara,1/1/22,,
28,GRO,Tepecoacuilco de Trujano,1/1/22,,
28,GUA,Apaseo el Grande,1/1/22,,
28,JAL,Cocula,1/1/22,,
28,MEX,Capulhuac,1/1/22,,
28,OAX,San Pedro Mixtepec -Dto. 22-,1/1/22,,
28,VER,Huatusco de Chicuellar,1/1/22,,
29,GRO,San Marcos,1/1/22,,
29,GUA,Purísima de Bustos,1/1/22,,
29,JAL,El Grullo,1/1/22,,
29,MEX,Juchitepec de Mariano Riva Palacio,1/1/22,,
29,OAX,Santa Cruz Itundujia,1/1/22,,
29,VER,Ixtaczoquitlán,1/1/22,,
30,GRO,Azoyú,1/1/22,,
30,GUA,Salvatierra,1/1/22,,
30,JAL,San Miguel el Alto,1/1/22,,
30,MEX,Tequixquiac,1/1/22,,
30,OAX,Chahuites,1/1/22,,
30,VER,Río Blanco,1/1/22,,
31,GRO,Tlapehuala,1/1/22,,
31,GUA,Marfil,1/1/22,,
31,JAL,Tala,1/1/22,,
31,MEX,Xonacatlán,1/1/22,,
31,OAX,Heroica Ciudad de Ejutla de Crespo,1/1/22,,
31,VER,Isla,1/1/22,,
32,GRO,San Luis Acatlán,1/1/22,,
32,GUA,San José Iturbide,1/1/22,,
32,JAL,La Barca,1/1/22,,
32,MEX,San Mateo Atenco,1/1/22,,
32,OAX,San Pedro Tapanatepec,1/1/22,,
32,VER,Cuitláhuac,1/1/22,,
33,GRO,Chilapa de Álvarez,1/1/22,,
33,GUA,Apaseo el Alto,1/1/22,,
33,JAL,Jamay,1/1/22,,
33,OAX,Vicente Camalote,1/1/22,,
33,VER,Fortín de las Flores,1/1/22,,
34,GRO,Tlapa de Comonfort,1/1/22,,
34,GUA,Ciudad Manuel Doblado,1/1/22,,
34,JAL,Yahualica de González Gallo,1/1/22,,
34,OAX,Villa de Tamazulápam del Progreso,1/1/22,,
34,VER,Alvarado,1/1/22,,
35,GRO,Tlalixtaquilla,1/1/22,,
35,GUA,Jaral del Progreso,1/1/22,,
35,JAL,Colotlán,1/1/22,,
35,OAX,San Juan Bautista lo de Soto,1/1/22,,
35,VER,José Cardel,1/1/22,,
36,GRO,Cuajinicuilapa,1/1/22,,
36,GUA,San Diego de la Unión,1/1/22,,
36,JAL,Cihuatlán,1/1/22,,
36,MEX,Chiconcuac,1/1/22,,
36,OAX,San Juan Cacahuatepec,1/1/22,,
36,VER,Banderilla,1/1/22,,
37,GRO,Huamuxtitlán,1/1/22,,
37,GUA,Santa Cruz Juventino Rosas,1/1/22,,
37,JAL,Zapotiltic,1/1/22,,
37,OAX,San Pedro Totolapa,1/1/22,,
37,VER,Paraje Nuevo,1/1/22,,
38,GRO,Cruz Grande,1/1/22,,
38,GUA,Doctor Mora,1/1/22,,
38,JAL,Villa Corona,1/1/22,,
38,OAX,San Miguel el Grande,1/1/22,,
38,VER,Playa Vicente,1/1/22,,
39,GRO,Ocotito,1/1/22,,
39,GUA,Dolores Hgo. Cuna de la Indep. Nal.,1/1/22,,
39,JAL,Teocaltiche,1/1/22,,
39,MEX,Almoloya de Juárez,1/1/22,,
39,OAX,Zimatlán de Álvarez,1/1/22,,
39,VER,Altotonga,1/1/22,,
40,GRO,Copala,1/1/22,,
40,MEX,Ocoyoacac,1/1/22,,
40,OAX,San Pablo Huitzo,1/1/22,,
40,VER,Juan Díaz Covarrubias,1/1/22,,
41,GRO,Zihuatanejo,1/1/22,,
41,JAL,Tequila,1/1/22,,
