c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Referencias del Huso Horario
20040,AGU,001,01,0,1/7/19,,Tiempo del Centro
20041,AGU,,,0,1/7/19,,Tiempo del Centro
20042,AGU,,,0,1/7/19,,Tiempo del Centro
20043,AGU,,,0,1/7/19,,Tiempo del Centro
20044,AGU,,,0,1/7/19,,Tiempo del Centro
20045,AGU,,,0,1/7/19,,Tiempo del Centro
20046,AGU,,,0,1/7/19,,Tiempo del Centro
20047,AGU,,,0,1/7/19,,Tiempo del Centro
20048,AGU,,,0,1/7/19,,Tiempo del Centro
20049,AGU,001,01,0,1/7/19,,Tiempo del Centro
20050,AGU,001,01,0,1/7/19,,Tiempo del Centro
20051,AGU,,,0,1/7/19,,Tiempo del Centro
20052,AGU,,,0,1/7/19,,Tiempo del Centro
20053,AGU,,,0,1/7/19,,Tiempo del Centro
20054,AGU,,,0,1/7/19,,Tiempo del Centro
20055,AGU,,,0,1/7/19,,Tiempo del Centro
20056,AGU,,,0,1/7/19,,Tiempo del Centro
20057,AGU,,,0,1/7/19,,Tiempo del Centro
20058,AGU,,,0,1/7/19,,Tiempo del Centro
20059,AGU,001,01,0,1/7/19,,Tiempo del Centro
20060,AGU,001,01,0,1/7/19,,Tiempo del Centro
20061,AGU,,,0,1/7/19,,Tiempo del Centro
20062,AGU,,,0,1/7/19,,Tiempo del Centro
20063,AGU,,,0,1/7/19,,Tiempo del Centro
20064,AGU,001,01,0,1/7/19,,Tiempo del Centro
20065,AGU,,,0,1/7/19,,Tiempo del Centro
20066,AGU,,,0,1/7/19,,Tiempo del Centro
20067,AGU,,,0,1/7/19,,Tiempo del Centro
20068,AGU,,,0,1/7/19,,Tiempo del Centro
20069,AGU,,,0,1/7/19,,Tiempo del Centro
20070,AGU,001,01,0,1/7/19,,Tiempo del Centro
20071,AGU,,,0,1/7/19,,Tiempo del Centro
20072,AGU,,,0,1/7/19,,Tiempo del Centro
20073,AGU,,,0,1/7/19,,Tiempo del Centro
20074,AGU,,,0,1/7/19,,Tiempo del Centro
20075,AGU,,,0,1/7/19,,Tiempo del Centro
20076,AGU,,,0,1/7/19,,Tiempo del Centro
20077,AGU,,,0,1/7/19,,Tiempo del Centro
20078,AGU,001,01,0,1/7/19,,Tiempo del Centro
20079,AGU,,,0,1/7/19,,Tiempo del Centro
20080,AGU,001,01,0,1/7/19,,Tiempo del Centro
20081,AGU,,,0,1/7/19,,Tiempo del Centro
20082,AGU,,,0,1/7/19,,Tiempo del Centro
20083,AGU,,,0,1/7/19,,Tiempo del Centro
20084,AGU,,,0,1/7/19,,Tiempo del Centro
20085,AGU,,,0,1/7/19,,Tiempo del Centro
20086,AGU,,,0,1/7/19,,Tiempo del Centro
20087,AGU,,,0,1/7/19,,Tiempo del Centro
20088,AGU,,,0,1/7/19,,Tiempo del Centro
20089,AGU,001,01,0,1/7/19,,Tiempo del Centro
20090,AGU,,,0,1/7/19,,Tiempo del Centro
20091,AGU,,,0,1/7/19,,Tiempo del Centro
20092,AGU,,,0,1/7/19,,Tiempo del Centro
20093,AGU,,,0,1/7/19,,Tiempo del Centro
20094,AGU,,,0,1/7/19,,Tiempo del Centro
20095,AGU,,,0,1/7/19,,Tiempo del Centro
20096,AGU,,,0,1/7/19,,Tiempo del Centro
20097,AGU,,,0,1/7/19,,Tiempo del Centro
20098,AGU,,,0,1/7/19,,Tiempo del Centro
20099,AGU,,,0,1/7/19,,Tiempo del Centro
20100,AGU,001,01,0,1/7/19,,Tiempo del Centro
20101,AGU,,,0,1/7/19,,Tiempo del Centro
20102,AGU,,,0,1/7/19,,Tiempo del Centro
20103,AGU,,,0,1/7/19,,Tiempo del Centro
20104,AGU,,,0,1/7/19,,Tiempo del Centro
20105,AGU,,,0,1/7/19,,Tiempo del Centro
20106,AGU,,,0,1/7/19,,Tiempo del Centro
20107,AGU,,,0,1/7/19,,Tiempo del Centro
20108,AGU,,,0,1/7/19,,Tiempo del Centro
20109,AGU,,,0,1/7/19,,Tiempo del Centro
20110,AGU,001,01,0,1/7/19,,Tiempo del Centro
20111,AGU,,,0,1/7/19,,Tiempo del Centro
20112,AGU,,,0,1/7/19,,Tiempo del Centro
20113,AGU,,,0,1/7/19,,Tiempo del Centro
20114,AGU,,,0,1/7/19,,Tiempo del Centro
20115,AGU,001,01,0,1/7/19,,Tiempo del Centro
20116,AGU,001,01,0,1/7/19,,Tiempo del Centro
20117,AGU,001,01,0,1/7/19,,Tiempo del Centro
20118,AGU,001,01,0,1/7/19,,Tiempo del Centro
20119,AGU,001,01,0,1/7/19,,Tiempo del Centro
20120,AGU,001,01,0,1/7/19,,Tiempo del Centro
20121,AGU,,,0,1/7/19,,Tiempo del Centro
20122,AGU,,,0,1/7/19,,Tiempo del Centro
20123,AGU,001,01,0,1/7/19,,Tiempo del Centro
20124,AGU,001,01,0,1/7/19,,Tiempo del Centro
20125,AGU,,,0,1/7/19,,Tiempo del Centro
20126,AGU,001,,0,1/7/19,,Tiempo del Centro
20127,AGU,001,01,0,1/7/19,,Tiempo del Centro
20128,AGU,001,,0,1/7/19,,Tiempo del Centro
20129,AGU,001,01,0,1/7/19,,Tiempo del Centro
20130,AGU,001,01,0,1/7/19,,Tiempo del Centro
20131,AGU,,,0,1/7/19,,Tiempo del Centro
20132,AGU,,,0,1/7/19,,Tiempo del Centro
20133,AGU,,,0,1/7/19,,Tiempo del Centro
20134,AGU,,,0,1/7/19,,Tiempo del Centro
20135,AGU,001,01,0,1/7/19,,Tiempo del Centro
20136,AGU,001,01,0,1/7/19,,Tiempo del Centro
20137,AGU,001,01,0,1/7/19,,Tiempo del Centro
20138,AGU,001,01,0,1/7/19,,Tiempo del Centro
20139,AGU,,,0,1/7/19,,Tiempo del Centro
20140,AGU,001,01,0,1/7/19,,Tiempo del Centro
20141,AGU,,,0,1/7/19,,Tiempo del Centro
20142,AGU,,,0,1/7/19,,Tiempo del Centro
20143,AGU,,,0,1/7/19,,Tiempo del Centro
20144,AGU,,,0,1/7/19,,Tiempo del Centro
20145,AGU,,,0,1/7/19,,Tiempo del Centro
20146,AGU,001,01,0,1/7/19,,Tiempo del Centro
20147,AGU,,,0,1/7/19,,Tiempo del Centro
20148,AGU,,,0,1/7/19,,Tiempo del Centro
20149,AGU,001,01,0,1/7/19,,Tiempo del Centro
20150,AGU,001,01,0,1/7/19,,Tiempo del Centro
20151,AGU,,,0,1/7/19,,Tiempo del Centro
20152,AGU,,,0,1/7/19,,Tiempo del Centro
20153,AGU,,,0,1/7/19,,Tiempo del Centro
20154,AGU,,,0,1/7/19,,Tiempo del Centro
20155,AGU,,,0,1/7/19,,Tiempo del Centro
20156,AGU,,,0,1/7/19,,Tiempo del Centro
20157,AGU,001,01,0,1/7/19,,Tiempo del Centro
20158,AGU,001,01,0,1/7/19,,Tiempo del Centro
20159,AGU,001,01,0,1/7/19,,Tiempo del Centro
20160,AGU,001,01,0,1/7/19,,Tiempo del Centro
20161,AGU,,,0,1/7/19,,Tiempo del Centro
20162,AGU,,,0,1/7/19,,Tiempo del Centro
20163,AGU,,,0,1/7/19,,Tiempo del Centro
20164,AGU,001,01,0,1/7/19,,Tiempo del Centro
20165,AGU,,,0,1/7/19,,Tiempo del Centro
20166,AGU,,,0,1/7/19,,Tiempo del Centro
20167,AGU,,,0,1/7/19,,Tiempo del Centro
20168,AGU,,,0,1/7/19,,Tiempo del Centro
20169,AGU,001,01,0,1/7/19,,Tiempo del Centro
20170,AGU,001,01,0,1/7/19,,Tiempo del Centro
20171,AGU,,,0,1/7/19,,Tiempo del Centro
20172,AGU,001,01,0,1/7/19,,Tiempo del Centro
20173,AGU,,,0,1/7/19,,Tiempo del Centro
20174,AGU,001,01,0,1/7/19,,Tiempo del Centro
20175,AGU,001,01,0,1/7/19,,Tiempo del Centro
20176,AGU,,,0,1/7/19,,Tiempo del Centro
20177,AGU,001,01,0,1/7/19,,Tiempo del Centro
20178,AGU,,,0,1/7/19,,Tiempo del Centro
20179,AGU,001,01,0,1/7/19,,Tiempo del Centro
20180,AGU,001,01,0,1/7/19,,Tiempo del Centro
20181,AGU,,,0,1/7/19,,Tiempo del Centro
20182,AGU,,,0,1/7/19,,Tiempo del Centro
20183,AGU,,,0,1/7/19,,Tiempo del Centro
20184,AGU,,,0,1/7/19,,Tiempo del Centro
20185,AGU,,,0,1/7/19,,Tiempo del Centro
20186,AGU,,,0,1/7/19,,Tiempo del Centro
20187,AGU,,,0,1/7/19,,Tiempo del Centro
20188,AGU,,,0,1/7/19,,Tiempo del Centro
20189,AGU,,,0,1/7/19,,Tiempo del Centro
20190,AGU,001,01,0,1/7/19,,Tiempo del Centro
20191,AGU,,,0,1/7/19,,Tiempo del Centro
20192,AGU,,,0,1/7/19,,Tiempo del Centro
20193,AGU,,,0,1/7/19,,Tiempo del Centro
20194,AGU,,,0,1/7/19,,Tiempo del Centro
20195,AGU,,,0,1/7/19,,Tiempo del Centro
20196,AGU,001,01,0,1/7/19,,Tiempo del Centro
20197,AGU,,,0,1/7/19,,Tiempo del Centro
20198,AGU,001,01,0,1/7/19,,Tiempo del Centro
20199,AGU,001,01,0,1/7/19,,Tiempo del Centro
20200,AGU,001,01,0,1/7/19,,Tiempo del Centro
20201,AGU,,,0,1/7/19,,Tiempo del Centro
20202,AGU,,,0,1/7/19,,Tiempo del Centro
20203,AGU,,,0,1/7/19,,Tiempo del Centro
20204,AGU,,,0,1/7/19,,Tiempo del Centro
20205,AGU,001,01,0,1/7/19,,Tiempo del Centro
20206,AGU,001,01,0,1/7/19,,Tiempo del Centro
20207,AGU,001,01,0,1/7/19,,Tiempo del Centro
20208,AGU,001,01,0,1/7/19,,Tiempo del Centro
20209,AGU,,,0,1/7/19,,Tiempo del Centro
20210,AGU,001,01,0,1/7/19,,Tiempo del Centro
20211,AGU,,,0,1/7/19,,Tiempo del Centro
20212,AGU,,,0,1/7/19,,Tiempo del Centro
20213,AGU,,,0,1/7/19,,Tiempo del Centro
20214,AGU,,,0,1/7/19,,Tiempo del Centro
20215,AGU,,,0,1/7/19,,Tiempo del Centro
20216,AGU,001,01,0,1/7/19,,Tiempo del Centro
20217,AGU,001,01,0,1/7/19,,Tiempo del Centro
20218,AGU,001,01,0,1/7/19,,Tiempo del Centro
20219,AGU,001,01,0,1/7/19,,Tiempo del Centro
20220,AGU,001,01,0,1/7/19,,Tiempo del Centro
20221,AGU,,,0,1/7/19,,Tiempo del Centro
20222,AGU,,,0,1/7/19,,Tiempo del Centro
20223,AGU,,,0,1/7/19,,Tiempo del Centro
20224,AGU,,,0,1/7/19,,Tiempo del Centro
20225,AGU,,,0,1/7/19,,Tiempo del Centro
20226,AGU,,,0,1/7/19,,Tiempo del Centro
20227,AGU,,,0,1/7/19,,Tiempo del Centro
20228,AGU,,,0,1/7/19,,Tiempo del Centro
20229,AGU,001,01,0,1/7/19,,Tiempo del Centro
20230,AGU,001,01,0,1/7/19,,Tiempo del Centro
20231,AGU,,,0,1/7/19,,Tiempo del Centro
20232,AGU,,,0,1/7/19,,Tiempo del Centro
20233,AGU,,,0,1/7/19,,Tiempo del Centro
20234,AGU,001,01,0,1/7/19,,Tiempo del Centro
20235,AGU,001,01,0,1/7/19,,Tiempo del Centro
20236,AGU,001,01,0,1/7/19,,Tiempo del Centro
20237,AGU,001,01,0,1/7/19,,Tiempo del Centro
20238,AGU,001,01,0,1/7/19,,Tiempo del Centro
20239,AGU,001,01,0,1/7/19,,Tiempo del Centro
20240,AGU,001,01,0,1/7/19,,Tiempo del Centro
20241,AGU,,,0,1/7/19,,Tiempo del Centro
20242,AGU,,,0,1/7/19,,Tiempo del Centro
20243,AGU,,,0,1/7/19,,Tiempo del Centro
20244,AGU,,,0,1/7/19,,Tiempo del Centro
20245,AGU,,,0,1/7/19,,Tiempo del Centro
20246,AGU,,,0,1/7/19,,Tiempo del Centro
20247,AGU,001,01,0,1/7/19,,Tiempo del Centro
20248,AGU,001,01,0,1/7/19,,Tiempo del Centro
20249,AGU,001,01,0,1/7/19,,Tiempo del Centro
20250,AGU,001,01,0,1/7/19,,Tiempo del Centro
20251,AGU,,,0,1/7/19,,Tiempo del Centro
20252,AGU,,,0,1/7/19,,Tiempo del Centro
20253,AGU,,,0,1/7/19,,Tiempo del Centro
20254,AGU,,,0,1/7/19,,Tiempo del Centro
20255,AGU,001,01,0,1/7/19,,Tiempo del Centro
20256,AGU,001,01,0,1/7/19,,Tiempo del Centro
20257,AGU,001,01,0,1/7/19,,Tiempo del Centro
20258,AGU,,,0,1/7/19,,Tiempo del Centro
20259,AGU,001,01,0,1/7/19,,Tiempo del Centro
20260,AGU,001,01,0,1/7/19,,Tiempo del Centro
20261,AGU,,,0,1/7/19,,Tiempo del Centro
20262,AGU,,,0,1/7/19,,Tiempo del Centro
20263,AGU,001,01,0,1/7/19,,Tiempo del Centro
20264,AGU,001,01,0,1/7/19,,Tiempo del Centro
20265,AGU,001,01,0,1/7/19,,Tiempo del Centro
20266,AGU,001,01,0,1/7/19,,Tiempo del Centro
20267,AGU,001,01,0,1/7/19,,Tiempo del Centro
20268,AGU,001,01,0,1/7/19,,Tiempo del Centro
20269,AGU,001,01,0,1/7/19,,Tiempo del Centro
20270,AGU,001,01,0,1/7/19,,Tiempo del Centro
20271,AGU,,,0,1/7/19,,Tiempo del Centro
20272,AGU,,,0,1/7/19,,Tiempo del Centro
20273,AGU,,,0,1/7/19,,Tiempo del Centro
20274,AGU,,,0,1/7/19,,Tiempo del Centro
20275,AGU,,,0,1/7/19,,Tiempo del Centro
20276,AGU,001,01,0,1/7/19,,Tiempo del Centro
20277,AGU,001,01,0,1/7/19,,Tiempo del Centro
20278,AGU,001,01,0,1/7/19,,Tiempo del Centro
20279,AGU,,,0,1/7/19,,Tiempo del Centro
20280,AGU,001,01,0,1/7/19,,Tiempo del Centro
20281,AGU,,,0,1/7/19,,Tiempo del Centro
20282,AGU,,,0,1/7/19,,Tiempo del Centro
20283,AGU,001,01,0,1/7/19,,Tiempo del Centro
20284,AGU,001,01,0,1/7/19,,Tiempo del Centro
20285,AGU,001,01,0,1/7/19,,Tiempo del Centro
20286,AGU,001,01,0,1/7/19,,Tiempo del Centro
20287,AGU,001,01,0,1/7/19,,Tiempo del Centro
20288,AGU,001,01,0,1/7/19,,Tiempo del Centro
20289,AGU,001,01,0,1/7/19,,Tiempo del Centro
20290,AGU,001,01,0,1/7/19,,Tiempo del Centro
20291,AGU,001,01,0,1/7/19,,Tiempo del Centro
20292,AGU,,,0,1/7/19,,Tiempo del Centro
20293,AGU,,,0,1/7/19,,Tiempo del Centro
20294,AGU,,,0,1/7/19,,Tiempo del Centro
20295,AGU,,,0,1/7/19,,Tiempo del Centro
20296,AGU,001,01,0,1/7/19,,Tiempo del Centro
20297,AGU,001,01,0,1/7/19,,Tiempo del Centro
20298,AGU,001,,0,1/7/19,,Tiempo del Centro
20299,AGU,001,01,0,1/7/19,,Tiempo del Centro
20300,AGU,011,03,0,1/7/19,,Tiempo del Centro
20301,AGU,,,0,1/7/19,,Tiempo del Centro
20302,AGU,,,0,1/7/19,,Tiempo del Centro
20303,AGU,011,03,0,1/7/19,,Tiempo del Centro
20304,AGU,011,03,0,1/7/19,,Tiempo del Centro
20305,AGU,011,03,0,1/7/19,,Tiempo del Centro
20306,AGU,011,,0,1/7/19,,Tiempo del Centro
20307,AGU,,,0,1/7/19,,Tiempo del Centro
20308,AGU,,,0,1/7/19,,Tiempo del Centro
20309,AGU,,,0,1/7/19,,Tiempo del Centro
20310,AGU,001,,0,1/7/19,,Tiempo del Centro
20311,AGU,001,,0,1/7/19,,Tiempo del Centro
20312,AGU,,,0,1/7/19,,Tiempo del Centro
20313,AGU,001,,0,1/7/19,,Tiempo del Centro
20314,AGU,001,,0,1/7/19,,Tiempo del Centro
20315,AGU,001,,0,1/7/19,,Tiempo del Centro
20316,AGU,001,,0,1/7/19,,Tiempo del Centro
20317,AGU,001,,0,1/7/19,,Tiempo del Centro
20318,AGU,,,0,1/7/19,,Tiempo del Centro
20319,AGU,001,,0,1/7/19,,Tiempo del Centro
20320,AGU,001,,0,1/7/19,,Tiempo del Centro
20321,AGU,001,,0,1/7/19,,Tiempo del Centro
20322,AGU,001,,0,1/7/19,,Tiempo del Centro
20323,AGU,001,,0,1/7/19,,Tiempo del Centro
20324,AGU,001,,0,1/7/19,,Tiempo del Centro
20325,AGU,,,0,1/7/19,,Tiempo del Centro
20326,AGU,001,,0,1/7/19,,Tiempo del Centro
20327,AGU,,,0,1/7/19,,Tiempo del Centro
20328,AGU,001,,0,1/7/19,,Tiempo del Centro
20329,AGU,001,,0,1/7/19,,Tiempo del Centro
20330,AGU,010,,0,1/7/19,,Tiempo del Centro
20331,AGU,,,0,1/7/19,,Tiempo del Centro
20332,AGU,,,0,1/7/19,,Tiempo del Centro
20333,AGU,010,,0,1/7/19,,Tiempo del Centro
20334,AGU,010,,0,1/7/19,,Tiempo del Centro
20335,AGU,010,,0,1/7/19,,Tiempo del Centro
20336,AGU,010,,0,1/7/19,,Tiempo del Centro
20337,AGU,010,,0,1/7/19,,Tiempo del Centro
20338,AGU,010,,0,1/7/19,,Tiempo del Centro
20339,AGU,010,,0,1/7/19,,Tiempo del Centro
20340,AGU,001,,0,1/7/19,,Tiempo del Centro
20341,AGU,001,,0,1/7/19,,Tiempo del Centro
20342,AGU,001,,0,1/7/19,,Tiempo del Centro
20343,AGU,,,0,1/7/19,,Tiempo del Centro
20344,AGU,001,,0,1/7/19,,Tiempo del Centro
20345,AGU,001,,0,1/7/19,,Tiempo del Centro
20346,AGU,001,,0,1/7/19,,Tiempo del Centro
20347,AGU,,,0,1/7/19,,Tiempo del Centro
20348,AGU,001,,0,1/7/19,,Tiempo del Centro
20349,AGU,001,,0,1/7/19,,Tiempo del Centro
20350,AGU,011,,0,1/7/19,,Tiempo del Centro
20351,AGU,,,0,1/7/19,,Tiempo del Centro
20352,AGU,,,0,1/7/19,,Tiempo del Centro
20353,AGU,011,,0,1/7/19,,Tiempo del Centro
20354,AGU,,,0,1/7/19,,Tiempo del Centro
20355,AGU,011,,0,1/7/19,,Tiempo del Centro
20356,AGU,011,,0,1/7/19,,Tiempo del Centro
20357,AGU,011,,0,1/7/19,,Tiempo del Centro
20358,AGU,011,,0,1/7/19,,Tiempo del Centro
20359,AGU,,,0,1/7/19,,Tiempo del Centro
20360,AGU,,,0,1/7/19,,Tiempo del Centro
20361,AGU,,,0,1/7/19,,Tiempo del Centro
20362,AGU,,,0,1/7/19,,Tiempo del Centro
20363,AGU,001,,0,1/7/19,,Tiempo del Centro
20364,AGU,001,,0,1/7/19,,Tiempo del Centro
20365,AGU,,,0,1/7/19,,Tiempo del Centro
20366,AGU,001,,0,1/7/19,,Tiempo del Centro
20367,AGU,001,,0,1/7/19,,Tiempo del Centro
20368,AGU,,,0,1/7/19,,Tiempo del Centro
20369,AGU,001,,0,1/7/19,,Tiempo del Centro
20370,AGU,001,,0,1/7/19,,Tiempo del Centro
20371,AGU,001,,0,1/7/19,,Tiempo del Centro
20372,AGU,001,,0,1/7/19,,Tiempo del Centro
20373,AGU,001,,0,1/7/19,,Tiempo del Centro
20374,AGU,,,0,1/7/19,,Tiempo del Centro
20375,AGU,001,,0,1/7/19,,Tiempo del Centro
20376,AGU,001,,0,1/7/19,,Tiempo del Centro
20377,AGU,001,,0,1/7/19,,Tiempo del Centro
20378,AGU,,,0,1/7/19,,Tiempo del Centro
20379,AGU,001,,0,1/7/19,,Tiempo del Centro
20380,AGU,,,0,1/7/19,,Tiempo del Centro
20381,AGU,,,0,1/7/19,,Tiempo del Centro
20382,AGU,,,0,1/7/19,,Tiempo del Centro
20383,AGU,,,0,1/7/19,,Tiempo del Centro
20384,AGU,001,,0,1/7/19,,Tiempo del Centro
20385,AGU,001,,0,1/7/19,,Tiempo del Centro
20386,AGU,001,,0,1/7/19,,Tiempo del Centro
20387,AGU,,,0,1/7/19,,Tiempo del Centro
20388,AGU,001,,0,1/7/19,,Tiempo del Centro
20389,AGU,001,,0,1/7/19,,Tiempo del Centro
20390,AGU,001,,0,1/7/19,,Tiempo del Centro
20391,AGU,001,,0,1/7/19,,Tiempo del Centro
20392,AGU,001,,0,1/7/19,,Tiempo del Centro
20393,AGU,001,,0,1/7/19,,Tiempo del Centro
20394,AGU,001,,0,1/7/19,,Tiempo del Centro
20395,AGU,001,,0,1/7/19,,Tiempo del Centro
20396,AGU,001,,0,1/7/19,,Tiempo del Centro
20397,AGU,,,0,1/7/19,,Tiempo del Centro
20398,AGU,,,0,1/7/19,,Tiempo del Centro
20399,AGU,001,,0,1/7/19,,Tiempo del Centro
20400,AGU,007,06,0,1/7/19,,Tiempo del Centro
20401,AGU,,,0,1/7/19,,Tiempo del Centro
20402,AGU,,,0,1/7/19,,Tiempo del Centro
20403,AGU,007,06,0,1/7/19,,Tiempo del Centro
20404,AGU,007,06,0,1/7/19,,Tiempo del Centro
20405,AGU,007,06,0,1/7/19,,Tiempo del Centro
20406,AGU,007,06,0,1/7/19,,Tiempo del Centro
20407,AGU,,,0,1/7/19,,Tiempo del Centro
20408,AGU,,,0,1/7/19,,Tiempo del Centro
20409,AGU,,,0,1/7/19,,Tiempo del Centro
20410,AGU,007,06,0,1/7/19,,Tiempo del Centro
20411,AGU,,,0,1/7/19,,Tiempo del Centro
20412,AGU,,,0,1/7/19,,Tiempo del Centro
20413,AGU,,,0,1/7/19,,Tiempo del Centro
20414,AGU,007,06,0,1/7/19,,Tiempo del Centro
20415,AGU,007,06,0,1/7/19,,Tiempo del Centro
20416,AGU,007,06,0,1/7/19,,Tiempo del Centro
20417,AGU,007,06,0,1/7/19,,Tiempo del Centro
20418,AGU,,,0,1/7/19,,Tiempo del Centro
20419,AGU,,,0,1/7/19,,Tiempo del Centro
20420,AGU,007,,0,1/7/19,,Tiempo del Centro
20421,AGU,,,0,1/7/19,,Tiempo del Centro
20422,AGU,,,0,1/7/19,,Tiempo del Centro
20423,AGU,007,,0,1/7/19,,Tiempo del Centro
20424,AGU,007,,0,1/7/19,,Tiempo del Centro
20425,AGU,007,,0,1/7/19,,Tiempo del Centro
20426,AGU,007,,0,1/7/19,,Tiempo del Centro
20427,AGU,007,,0,1/7/19,,Tiempo del Centro
20428,AGU,,,0,1/7/19,,Tiempo del Centro
20429,AGU,,,0,1/7/19,,Tiempo del Centro
20430,AGU,007,,0,1/7/19,,Tiempo del Centro
20431,AGU,,,0,1/7/19,,Tiempo del Centro
20432,AGU,,,0,1/7/19,,Tiempo del Centro
20433,AGU,,,0,1/7/19,,Tiempo del Centro
20434,AGU,007,,0,1/7/19,,Tiempo del Centro
20435,AGU,007,,0,1/7/19,,Tiempo del Centro
20436,AGU,007,,0,1/7/19,,Tiempo del Centro
20437,AGU,007,,0,1/7/19,,Tiempo del Centro
20438,AGU,,,0,1/7/19,,Tiempo del Centro
20439,AGU,,,0,1/7/19,,Tiempo del Centro
20440,AGU,007,,0,1/7/19,,Tiempo del Centro
20441,AGU,,,0,1/7/19,,Tiempo del Centro
20442,AGU,,,0,1/7/19,,Tiempo del Centro
20443,AGU,,,0,1/7/19,,Tiempo del Centro
20444,AGU,007,,0,1/7/19,,Tiempo del Centro
20445,AGU,007,,0,1/7/19,,Tiempo del Centro
20446,AGU,007,,0,1/7/19,,Tiempo del Centro
20447,AGU,007,,0,1/7/19,,Tiempo del Centro
20448,AGU,,,0,1/7/19,,Tiempo del Centro
20449,AGU,,,0,1/7/19,,Tiempo del Centro
20450,AGU,007,,0,1/7/19,,Tiempo del Centro
20451,AGU,,,0,1/7/19,,Tiempo del Centro
20452,AGU,,,0,1/7/19,,Tiempo del Centro
20453,AGU,,,0,1/7/19,,Tiempo del Centro
20454,AGU,007,,0,1/7/19,,Tiempo del Centro
20455,AGU,,,0,1/7/19,,Tiempo del Centro
20456,AGU,007,,0,1/7/19,,Tiempo del Centro
20457,AGU,007,,0,1/7/19,,Tiempo del Centro
20458,AGU,,,0,1/7/19,,Tiempo del Centro
20459,AGU,,,0,1/7/19,,Tiempo del Centro
20460,AGU,004,09,0,1/7/19,,Tiempo del Centro
20461,AGU,,,0,1/7/19,,Tiempo del Centro
20462,AGU,004,09,0,1/7/19,,Tiempo del Centro
20463,AGU,,,0,1/7/19,,Tiempo del Centro
20464,AGU,,,0,1/7/19,,Tiempo del Centro
20465,AGU,,,0,1/7/19,,Tiempo del Centro
20466,AGU,004,09,0,1/7/19,,Tiempo del Centro
20467,AGU,004,09,0,1/7/19,,Tiempo del Centro
20468,AGU,004,09,0,1/7/19,,Tiempo del Centro
20469,AGU,004,09,0,1/7/19,,Tiempo del Centro
20470,AGU,004,,0,1/7/19,,Tiempo del Centro
20471,AGU,,,0,1/7/19,,Tiempo del Centro
20472,AGU,004,,0,1/7/19,,Tiempo del Centro
20473,AGU,,,0,1/7/19,,Tiempo del Centro
20474,AGU,,,0,1/7/19,,Tiempo del Centro
20475,AGU,,,0,1/7/19,,Tiempo del Centro
20476,AGU,004,,0,1/7/19,,Tiempo del Centro
20477,AGU,,,0,1/7/19,,Tiempo del Centro
20478,AGU,004,,0,1/7/19,,Tiempo del Centro
